BD Ticket #,Server SN,IP Address,START DATE,END DATE,Product Name,Model,RACK,FAULT TYPE,If change Part,Foxconn PN,OLD Manufacturer,OLD PN,NEW Manufacturer,NEW PN,OLD PART SN,NEW PART SN,PART POSITION,Error Description,FEEDBACK,TECH,Repair Time,Period,Status,Requester,Notes,Initial Stock Status ,FOXCONN CHINA or USA,Platform,Over time reason,HHPN
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BE24,S802C0F23033DC3C9BF,P1_C7_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BE25,S802C0F23033DC3E244,P1_C4_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BE26,S802C0F23033DC3E220,P1_C5_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BD22,S802C0F23033DC3E07E,P0_C1_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BD21,S802C0F23033DC3E0B4,P0_C0_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BE27,S802C0F23033DC3E22B,P0_C3_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744AFEB,S802C0F23033DC3E10B,P0_C6_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744AFF6,S802C0F23033DC3E239,P0_C7_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BBF2,S802C0F23033DC3E23C,P0_C4_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1807047,MXX3290024,fdbd:dc61:19:67::20,2024/2/6,2024/2/6,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-42,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 249,Micron,MTA36ASF4G72PZ-3G2R1 303,80AD0122493744BBF1,S802C0F23033DC3E202,P0_C5_D0,Uncorrectable ECC other uncorrectable memory error 58 | 02/05/2024 | 22:03:55 | Memory P0_C2_D0_Status | Uncorrectable ECC | Asserted SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Tianyu Yang,2024/2/6,10~17,Confirm Closed,isaac.xu/isaac.xu,Old part is good,,FOXCONN AMERICA,Whitley,,
1795448,MXX0090538,10.189.89.99,2024/2/6,2024/3/18,S10-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-16 U23 24,MotherBoard （NIC）,Y,N/A,Foxconn,MCX542B-ACAN,Foxconn,MCX542B-ACAN,MT2001K23902,MT2010K15701,System,"Motherboard Failed System is failing POST; according to DCT ""stuck in system boot status"".
","1. This is a ByteDance MB Failure ticket. 2. Replaced NIC, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/Tianyu Yang,2024/2/6,10~17,Confirm Closed,John Bernstein/john.bernstein,ME;0C42A1373690  P0;0C42A1373691  P1;0C42A1373692,,FOXCONN AMERICA,Whitley,,
1807319,MXX2450030,10.54.129.136,2024/2/6,2024/2/7,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-C-34,Memory,Y,N/A,Samsung,VN M393A4K40EB3-CWE 2226,Samsung,VN M393A4K40EB3-CWE 2237,T1FR00022651E8B0D6,H1FA00023742272C35,P1_C1_D0,Uncorrectable ECC other uncorrectable memory error 67 | 02/06/2024 | 12:35:40 | Memory P1_C1_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P1_C1_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/mingquan li,2024/2/7,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1807319,MXX2450030,10.54.129.136,2024/2/6,2024/2/7,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-C-34,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,42KB097200286,73EK666900894,CPU1,Machine Check Exception ( Uncorrectable ) 64 | 02/06/2024 | 12:35:14 | Processor CPU1_Status | Uncorrectable machine check exception | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0 and CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/mingquan li,2024/2/7,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1807319,MXX2450030,10.54.129.136,2024/2/6,2024/2/7,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-C-34,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,42HH464900144,73EK666901409,CPU0,Machine Check Exception ( Uncorrectable ) 5b | 02/06/2024 | 12:35:12 | Processor CPU0_Status | Uncorrectable machine check exception | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0 and CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/mingquan li,2024/2/7,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1807524,MXX2450677,10.62.145.148,2024/2/7,2024/3/15,S19S2-I8VD2-US,G220-A5,USDAL02_EQDA11_04-141435-01-12,Disk,Y,N/A,Intel,SSDPF2KX019T1M,Intel,SSDPF2KX019T1M,PHAX207600901P9BGN,PHAX2482055Y1P9BGN,nvme0n1,Disk: Lost (Unrecognized) /dev/nvme0n1 is missing,"1. This is a ByteDance Disk Failure ticket. 2. Replaced nvme0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Biao Lu,2024/2/20,10~17,Confirm Closed,William Perkins/williamperkins,CDN Ticket,,FOXCONN AMERICA,Whitley,,
1795448,MXX0090538,10.189.89.99,2024/2/6,2024/3/18,S10-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-16 U23 24,MotherBoard,Y,N/A,Foxconn,02012MW00-600-G,Foxconn,02012MW00-600-G,02012MW00T0BCS0TT,02012MW00TZZDI0XX,System,"Motherboard Failed System is failing POST; according to DCT ""stuck in system boot status"".
","1. This is a ByteDance MB Failure ticket. 2. Replaced Motherboard, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/mingquan li,2024/3/7,10~17,Confirm Closed,John Bernstein/john.bernstein,"New part does not fit in server, waiting for new spare part from Foxconn; New MAC: A4AE11FBB87E",,FOXCONN AMERICA,Whitley,,
1801350,MXX3320158,fdbd:dc61:1a:335::27,2024/2/7,2024/2/8,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M116-L-20,FAN,Y,N/A,DELTA,GFM0412SS-08,DELTA,GFM0412SS-08,GFM0412SS-08GS1A022B200197,GFM0412SS-08GS1A0237W14004,FAN9_R_SPEED,"Speed Critical (Sensor) Speed:0.000,SensorStatus:cr; HourCount: (8) >= 6","1. This is a ByteDance FAN Failure ticket. 2. Replaced Fan9, then no error on the server. 3. Used Dora system and now the ticket is closed.",Tianyu Yang,2024/2/8,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1801350,MXX3320158,fdbd:dc61:1a:335::27,2024/2/7,2024/2/8,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M116-L-20,FAN,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAN9_F_SPEED,"Speed Critical (Sensor) Speed:0.000,SensorStatus:cr; HourCount: (8) >= 6","1. This is a ByteDance FAN Failure ticket. 2. Replaced Fan9, then no error on the server. 3. Used Dora system and now the ticket is closed.",Tianyu Yang,2024/2/8,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1808531,MXX3230198,fdbd:dc61:1a:19::49,2024/2/9,2024/2/9,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M116-A-29,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AC 227,Hynix,HMAA4GR7CJR8N-XN TG AC 249,80AD0122279665D7B4,80AD0122493744BBF2,P0_C2_D0,Uncorrectable ECC other uncorrectable memory error/SensorName:P0_C2_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P0_C2_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Tianyu Yang,2024/2/9,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1808317,MXX2510263,10.54.180.42,2024/2/9,2024/2/9,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-M-18,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,71A43D6600621,73EK666901276,CPU0,Machine Check Exception ( Uncorrectable )/SensorName:CPU0_Status;Status:0x8088,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Tianyu Yang,2024/2/9,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1809779,MXX1460037,10.233.140.101,2024/2/12,2024/2/12,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P100-I-50,Memory,Y,N/A,Hynix,HMA84GR7DJR4N-XN T4 AC 123,Hynix,HMA84GR7DJR4N-XN T4 AD 217,80AD02212324255328,80AD0122173695C925,SKT0_CTR0_CH0_D0,Uncorrectable ECC other uncorrectable memory error EDAC MC0: 1 UE memory read error on CPU_SrcID#0_MC#0_Chan#0_DIMM#0 (channel:0 slot:0 page:0x1be49cf offset:0xc00 grain:32 - OVERFLOW err_code:0x0101:0x0090 socket:0 imc:0 rank:1 bg:2 ba:1 row:0x12dae col:0x3f0 retry_rd_err_log[0000a80f 00000000 00100020 04fc6040 00012dae] correrrcnt[0000 060a 0000 0000 0000 0000 0000 0000]),"1. This is a ByteDance DIMM Failure ticket. 2. Replaced CPU0A0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/12,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN CHINA,Purley,,
1809002,MXX3020114,10.39.137.204,2024/2/10,2024/2/12,B16S2-I8VD2-US,G220-A5,USVASTE_DRTR_R216-L-29,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,4252DY1100701,73EK666901456,CPU1,Machine Check Exception ( Uncorrectable ) SensorName:CPU1_Status;Status:0x8088,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/12,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1801976,MXX3350044,fdbd:dc61:19:91::18,2024/2/13,2024/2/13,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M216-C-25,NIC,Y,N/A,Foxconn,MCX623432AS-ADAB,Foxconn,MCX623432AS-ADAB,MT2250400PRU,MT2301J21546,eth0,NIC error(get device info failed) {'CannotGetDriverInformation': 'No such device'}; HourCount: (12) >= 3,"1. This is a ByteDance NIC Failure ticket. 2. Replaced eth0 NIC, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/13,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1793962,MXX3350001,fdbd:dc61:19:83::26,2024/2/13,2024/2/13,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M216-C-14,NIC (Daughterboard),Y,N/A,Foxconn,10041KK00-600-G,Foxconn,10041KK00-600-G,0041KK00T0AID0HN,10041KK00T0AIA01G,eth0,NIC Lost (Unrecognized) -; HourCount: (12) >= 3,"1. This is a ByteDance NIC Failure ticket. 2. Replaced daughterboard, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/13,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1803543,MXX3360165,fdbd:dc61:19:71::41,2024/1/29,2024/2/13,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-B-50,SSH (Disk),Y,N/A,Intel,SSDPF2KX019T1M,Intel,SSDPF2KX019T1M,PHAX248206FW1P9BGN,PHAX248301K11P9BGN,nvme1n1,"SSH unreachable EXT-4 FS error on NVME0n1p2, I power drained, but it does the same thing after it boots OS;","1. This is a ByteDance SSH Failure ticket. 2. Replaced nvme1n1, then no error on server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/13,10~17,Confirm Closed,Seth Garcia/seth.garcia,BD says nvme1n1 needs to be replaced,,FOXCONN AMERICA,Whitley,,
1809733,MXX3410380,fdbd:dc61:19:37::30,2024/2/12,2024/2/14,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M216-B-03,PowerFault (Motherboard),Y,N/A,Foxconn,02012YS00-600-G,Foxconn,02012YS00-600-G,02012YS00T0GIC048,2012YS00T0GIE07H,System,2024-02-12T03:46:08+00:00 Power_Fault power_unit state_asserted-asserted,"1. This is a ByteDance PowerFault Failure ticket. 2. Replaced motherboard, then no error on server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/14,10~17,Confirm Closed,john.bernstein,CDN Ticket; New MAC: FC6179B68CD4,,FOXCONN AMERICA,Whitley,,
1803263,MXX3360401,fdbd:dc61:19:79::37,2024/2/14,2024/2/14,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M216-C-09,Disk,Y,N/A,Western Digital,WUH721818ALE6L4,Western Digital,WUH721818ALE6L4,4BKWZKZZ,4MHN7GAZ,10,Disk: Lost (Unrecognized),"1. This is a ByteDance Disk Failure ticket. 2. Replaced HDD10, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810503,MXX3300020,fdbd:dc61:17:349::27,2024/2/14,2024/2/14,S27S2-I8VD3B-US,S520-A5,USVACT_D_DH12-J-20,FAN,Y,N/A,DELTA,GFM0412SS-08,DELTA,GFM0412SS-08,GFM0412SS-08GS1A022B201088,GFM0412SS-08GS1A0237W13260,FAN9_R_SPEED,"Speed Critical (Sensor) Speed:0.000,SensorStatus:cr; HourCount: (6) >= 6","1. This is a ByteDance FAN Failure ticket. 2. Replaced Fan9, then no error on the server. 3. Used Dora system and now the ticket is closed.",Tianyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810503,MXX3300020,fdbd:dc61:17:349::27,2024/2/14,2024/2/14,S27S2-I8VD3B-US,S520-A5,USVACT_D_DH12-J-20,FAN,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAN9_F_SPEED,"Speed Critical (Sensor) Speed:0.000,SensorStatus:cr; HourCount: (6) >= 6","1. This is a ByteDance FAN Failure ticket. 2. Replaced Fan9, then no error on the server. 3. Used Dora system and now the ticket is closed.",Tianyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810388,MXX2390023,10.54.78.40,2024/2/14,2024/2/15,B20S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH201-L-18,Memory,Y,N/A,Samsung,M393A4K40DB3-CWE,Samsung,VN M393A4K40DB3-CWE 2213,N0A200021350818B4C,H0VH0002135082CCAB,P1_C6_D0,Uncorrectable ECC other uncorrectable memory error dc | 02/13/2024 | 20:14:12 | Memory P1_C6_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced  P1_C6_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/TIanyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810388,MXX2390023,10.54.78.40,2024/2/14,2024/2/15,B20S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH201-L-18,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,42K6632E00640,73EK666901001,CPU0,IERR de | 02/13/2024 | 20:14:15 | Processor CPU0_Status | IERR | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/TIanyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,New part DOA,,FOXCONN AMERICA,Whitley,,
1810388,MXX2390023,10.54.78.40,2024/2/14,2024/2/15,B20S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH201-L-18,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,73EK666901001,73EK666900880,CPU0,IERR de | 02/13/2024 | 20:14:15 | Processor CPU0_Status | IERR | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/TIanyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810388,MXX2390023,10.54.78.40,2024/2/14,2024/2/15,B20S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH201-L-18,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,42MT639300314,731F4P2601122,CPU1,IERR de | 02/13/2024 | 20:14:15 | Processor CPU0_Status | IERR | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/TIanyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810388,MXX2390023,10.54.78.40,2024/2/14,2024/2/15,B20S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH201-L-18,Motherboard,Y,N/A,Foxconn,02012WS00-600-G,Foxconn,02012WR00-600-G,02012WS00T0FGZ3BE,02012WR00T0EIW0LN,MB,,"1. This is a ByteDance CPU Failure ticket. 2. Replaced MB, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/TIanyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,"Replaced MB, new :FC6179B89598",,FOXCONN AMERICA,Whitley,,
1810388,MXX2390023,10.54.78.40,2024/2/14,2024/2/15,B20S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH201-L-18,Daughterboard,Y,N/A,Foxconn,10041KK00-600-G,Foxconn,10041KK00-600-G,10041KK00TCXGS4TT,10041KK00T0AIA014,KK,,"1. This is a ByteDance CPU Failure ticket. 2. Replaced kk board, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li/TIanyu Yang,2024/2/14,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810721,MXX1430855,10.233.168.39,2024/2/14,2024/2/15,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P100-G-54,Memory,Y,N/A,Hynix,HMA84GR7DJR4N-XN,Hynix,HMA84GR7DJR4N-XN T4 AD 217,80AD02211923EDB4C5,80AD0122173695C93C,P0_C5_D0,Memory Device Disabled 83 | 02/14/2024 | 14:18:08 | Memory CPU0F0_DIMM_Stat | Memory Device Disabled | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced  P0_C5_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li,2024/2/15,10~17,Confirm Closed,Aquanes Shane Delima/aquanes.delima,Replaced P0C5D0,,FOXCONN CHINA,Purley,,
1810469,MXX3140203,fdbd:dc61:20:459::20,2024/2/16,2024/2/16,B20S2-I8VD2-US,G220-A5,USVADRTM2_M2_M224-M-41,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,42Q34J2500298,735F7W3500126,CPU1,Machine Check Exception ( Uncorrectable ) SensorName:CPU1_Status;Status:0x8088,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/mingquan li,2024/2/16,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1810469,MXX3140203,fdbd:dc61:20:459::20,2024/2/16,2024/2/16,B20S2-I8VD2-US,G220-A5,USVADRTM2_M2_M224-M-41,Memory,Y,N/A,Samsung,VN M393A4K40EB3-CWE 2243,Samsung,VN M393A4K40EB3-CWE 2237,H0J300024342EB00CD,H1FA00023742272C77,P1_C5_D0,Uncorrectable ECC other uncorrectable memory error 48 | 02/14/2024 | 00:36:30 | Memory P1_C5_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced  P1_C5_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/mingquan li,2024/2/16,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1803709,MXX3290216,fdbd:dc61:20:397::36,2024/2/17,2024/2/20,S27S2-I8VD3B-US,S520-A5,USVADRTM2_M2_M224-J-46,Disk,Y,N/A,Seagate,ST18000NM003D,Seagate,ST18000NM003D,ZVTAL2H1,ZVTACNMT,13,Disk: Lost (Unrecognized),"1. This is a ByteDance Disk Failure ticket. 2. Replaced HDD13, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/2/20,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
